,_state,id,book_id,books_count,isbn,author,original_publication_year,original_title,title,lang_code,average_rating,image_url,small_image_url,image
295,<django.db.models.base.ModelState object at 0x00000216581709A0>,340,7747374,38,61969559,Pittacus Lore,2010,I Am Number Four,"I Am Number Four (Lorien Legacies, #1)",en-US,3.94,https://images.gr-assets.com/books/1305807140m/7747374.jpg,https://images.gr-assets.com/books/1305807140s/7747374.jpg,https://images.gr-assets.com/books/1305807140m/7747374.jpg
296,<django.db.models.base.ModelState object at 0x0000021658170A30>,341,1371,1726,140275363,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750,Ἰλιάς,The Iliad,eng,3.83,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
297,<django.db.models.base.ModelState object at 0x0000021658170AC0>,342,13497818,139,316228532,J.K. Rowling,2012,The Casual Vacancy,The Casual Vacancy,eng,3.28,https://images.gr-assets.com/books/1358266832m/13497818.jpg,https://images.gr-assets.com/books/1358266832s/13497818.jpg,https://images.gr-assets.com/books/1358266832m/13497818.jpg
298,<django.db.models.base.ModelState object at 0x0000021658170B50>,343,24192,120,385339690,John Grisham,1996,The Runaway Jury,The Runaway Jury,eng,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
299,<django.db.models.base.ModelState object at 0x0000021658170BE0>,344,4138,54,316777730,David Sedaris,1997,Naked,Naked,en-US,4.08,https://images.gr-assets.com/books/1394178867m/4138.jpg,https://images.gr-assets.com/books/1394178867s/4138.jpg,https://images.gr-assets.com/books/1394178867m/4138.jpg
300,<django.db.models.base.ModelState object at 0x0000021658170C70>,345,45978,163,375840400,Christopher Paolini,2005,Eldest,"Eldest (The Inheritance Cycle, #2)",en-US,3.96,https://images.gr-assets.com/books/1387119654m/45978.jpg,https://images.gr-assets.com/books/1387119654s/45978.jpg,https://images.gr-assets.com/books/1387119654m/45978.jpg
301,<django.db.models.base.ModelState object at 0x0000021658170D00>,346,236093,1474,140621679,"L. Frank Baum, W.W. Denslow",1900,The Wonderful Wizard of Oz,"The Wonderful Wizard of Oz (Oz, #1)",eng,3.98,https://images.gr-assets.com/books/1398003737m/236093.jpg,https://images.gr-assets.com/books/1398003737s/236093.jpg,https://images.gr-assets.com/books/1398003737m/236093.jpg
302,<django.db.models.base.ModelState object at 0x0000021658170D90>,349,11590,211,450031063,Stephen King,1975,Salem's Lot,'Salem's Lot,en-GB,3.99,https://images.gr-assets.com/books/1327891565m/11590.jpg,https://images.gr-assets.com/books/1327891565s/11590.jpg,https://images.gr-assets.com/books/1327891565m/11590.jpg
303,<django.db.models.base.ModelState object at 0x0000021658170E20>,350,7745,98,679785892,"Hunter S. Thompson, Ralph Steadman",1971,Fear and Loathing in Las Vegas: A Savage Journey t,Fear and Loathing in Las Vegas,eng,4.08,https://images.gr-assets.com/books/1394204569m/7745.jpg,https://images.gr-assets.com/books/1394204569s/7745.jpg,https://images.gr-assets.com/books/1394204569m/7745.jpg
304,<django.db.models.base.ModelState object at 0x0000021658170EB0>,351,10025305,99,1416975888,Cassandra Clare,2011,Clockwork Prince,"Clockwork Prince (The Infernal Devices, #2)",eng,4.46,https://images.gr-assets.com/books/1460477747m/10025305.jpg,https://images.gr-assets.com/books/1460477747s/10025305.jpg,https://images.gr-assets.com/books/1460477747m/10025305.jpg
305,<django.db.models.base.ModelState object at 0x0000021658170F40>,352,20910157,29,62268341,Amy Poehler,2014,Yes Please,Yes Please,eng,3.81,https://images.gr-assets.com/books/1402815435m/20910157.jpg,https://images.gr-assets.com/books/1402815435s/20910157.jpg,https://images.gr-assets.com/books/1402815435m/20910157.jpg
306,<django.db.models.base.ModelState object at 0x0000021658170FD0>,353,12996,1053,743477553,William Shakespeare,1603,"The Tragedy of Othello, The Moor of Venice",Othello,eng,3.88,https://images.gr-assets.com/books/1459795105m/12996.jpg,https://images.gr-assets.com/books/1459795105s/12996.jpg,https://images.gr-assets.com/books/1459795105m/12996.jpg
307,<django.db.models.base.ModelState object at 0x00000216581730A0>,354,6149,153,1400033411,Toni Morrison,1987,Beloved,Beloved,eng,3.77,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
308,<django.db.models.base.ModelState object at 0x0000021658173130>,356,78411,126,439206472,"Lemony Snicket, Brett Helquist",1999,The Bad Beginning,"The Bad Beginning (A Series of Unfortunate Events, #1)",eng,3.89,https://images.gr-assets.com/books/1490085391m/78411.jpg,https://images.gr-assets.com/books/1490085391s/78411.jpg,https://images.gr-assets.com/books/1490085391m/78411.jpg
309,<django.db.models.base.ModelState object at 0x00000216581731C0>,357,355697,372,449213943,"Erich Maria Remarque, A.W. Wheen",1929,Im Westen nichts Neues,All Quiet on the Western Front,en-US,3.92,https://images.gr-assets.com/books/1441227765m/355697.jpg,https://images.gr-assets.com/books/1441227765s/355697.jpg,https://images.gr-assets.com/books/1441227765m/355697.jpg
310,<django.db.models.base.ModelState object at 0x0000021658173250>,358,191139,40,679805273,Dr. Seuss,1990,"Oh, the Places You'll Go!","Oh, The Places You'll Go!",en-US,4.34,https://images.gr-assets.com/books/1421708635m/191139.jpg,https://images.gr-assets.com/books/1421708635s/191139.jpg,https://images.gr-assets.com/books/1421708635m/191139.jpg
311,<django.db.models.base.ModelState object at 0x00000216581732E0>,360,7082,221,345404475,"Philip K. Dick, Roger Zelazny",1968,Do Androids Dream of Electric Sheep?,Do Androids Dream of Electric Sheep?,eng,4.08,https://images.gr-assets.com/books/1435458683m/7082.jpg,https://images.gr-assets.com/books/1435458683s/7082.jpg,https://images.gr-assets.com/books/1435458683m/7082.jpg
312,<django.db.models.base.ModelState object at 0x0000021658173370>,361,18254,1787,141439742,"Charles Dickens, George Cruikshank, Philip Horne",1838,Oliver Twist,Oliver Twist,eng,3.85,https://images.gr-assets.com/books/1327868529m/18254.jpg,https://images.gr-assets.com/books/1327868529s/18254.jpg,https://images.gr-assets.com/books/1327868529m/18254.jpg
313,<django.db.models.base.ModelState object at 0x0000021658173400>,362,11149,231,60652896,C.S. Lewis,1942,A Grief Observed,The Screwtape Letters,eng,4.21,https://images.gr-assets.com/books/1347801873m/11149.jpg,https://images.gr-assets.com/books/1347801873s/11149.jpg,https://images.gr-assets.com/books/1347801873m/11149.jpg
314,<django.db.models.base.ModelState object at 0x0000021658173490>,363,6936382,79,525423273,Stephanie Perkins,2010,Anna and the French Kiss,"Anna and the French Kiss (Anna and the French Kiss, #1)",en-US,4.08,https://images.gr-assets.com/books/1358271931m/6936382.jpg,https://images.gr-assets.com/books/1358271931s/6936382.jpg,https://images.gr-assets.com/books/1358271931m/6936382.jpg
315,<django.db.models.base.ModelState object at 0x0000021658173520>,364,113946,72,7173040,Dr. Seuss,1957,How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,eng,4.36,https://images.gr-assets.com/books/1327958149m/113946.jpg,https://images.gr-assets.com/books/1327958149s/113946.jpg,https://images.gr-assets.com/books/1327958149m/113946.jpg
316,<django.db.models.base.ModelState object at 0x00000216581735B0>,365,5805,72,1401207928,"Alan Moore, David   Lloyd",1990,V for Vendetta,V for Vendetta,eng,4.25,https://images.gr-assets.com/books/1343668985m/5805.jpg,https://images.gr-assets.com/books/1343668985s/5805.jpg,https://images.gr-assets.com/books/1343668985m/5805.jpg
317,<django.db.models.base.ModelState object at 0x0000021658173640>,366,2203,38,743223136,David McCullough,2001,John Adams,John Adams,eng,4.05,https://images.gr-assets.com/books/1478144278m/2203.jpg,https://images.gr-assets.com/books/1478144278s/2203.jpg,https://images.gr-assets.com/books/1478144278m/2203.jpg
318,<django.db.models.base.ModelState object at 0x00000216581736D0>,367,14995,82,553384287,Dean Koontz,2003,Odd Thomas,"Odd Thomas (Odd Thomas, #1)",eng,3.94,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
319,<django.db.models.base.ModelState object at 0x0000021658173760>,368,119324,55,679879250,Philip Pullman,1997,The Subtle Knife,"The Subtle Knife (His Dark Materials, #2)",eng,4.1,https://images.gr-assets.com/books/1451271814m/119324.jpg,https://images.gr-assets.com/books/1451271814s/119324.jpg,https://images.gr-assets.com/books/1451271814m/119324.jpg
320,<django.db.models.base.ModelState object at 0x00000216581737F0>,369,22232,85,439488400,Jerry Spinelli,2000,Stargirl,"Stargirl (Stargirl, #1)",eng,3.74,https://images.gr-assets.com/books/1335947642m/22232.jpg,https://images.gr-assets.com/books/1335947642s/22232.jpg,https://images.gr-assets.com/books/1335947642m/22232.jpg
321,<django.db.models.base.ModelState object at 0x0000021658173880>,370,7090447,76,1423113381,Rick Riordan,2010,The Red Pyramid,"The Red Pyramid (Kane Chronicles, #1)",eng,4.06,https://images.gr-assets.com/books/1366227978m/7090447.jpg,https://images.gr-assets.com/books/1366227978s/7090447.jpg,https://images.gr-assets.com/books/1366227978m/7090447.jpg
322,<django.db.models.base.ModelState object at 0x0000021658173910>,371,350,130,441788386,Robert A. Heinlein,1961,Stranger in a Strange Land,Stranger in a Strange Land,eng,3.91,https://images.gr-assets.com/books/1156897088m/350.jpg,https://images.gr-assets.com/books/1156897088s/350.jpg,https://images.gr-assets.com/books/1156897088m/350.jpg
323,<django.db.models.base.ModelState object at 0x00000216581739A0>,372,10176,55,965904830,David Sedaris,2004,Dress Your Family in Corduroy and Denim,Dress Your Family in Corduroy and Denim,eng,4.08,https://images.gr-assets.com/books/1352983006m/10176.jpg,https://images.gr-assets.com/books/1352983006s/10176.jpg,https://images.gr-assets.com/books/1352983006m/10176.jpg
324,<django.db.models.base.ModelState object at 0x0000021658173A30>,373,6319,197,141311371,"Roald Dahl, Quentin Blake",1982,The BFG,The BFG,eng,4.22,https://images.gr-assets.com/books/1327872673m/6319.jpg,https://images.gr-assets.com/books/1327872673s/6319.jpg,https://images.gr-assets.com/books/1327872673m/6319.jpg
325,<django.db.models.base.ModelState object at 0x0000021658173AC0>,375,1852,1384,439227143,Jack London,1903,The Call of the Wild,The Call of the Wild,eng,3.83,https://images.gr-assets.com/books/1452291694m/1852.jpg,https://images.gr-assets.com/books/1452291694s/1852.jpg,https://images.gr-assets.com/books/1452291694m/1852.jpg
326,<django.db.models.base.ModelState object at 0x0000021658173B50>,376,7864437,88,385738773,James Dashner,2011,The Death Cure,"The Death Cure (Maze Runner, #3)",eng,3.77,https://images.gr-assets.com/books/1303997647m/7864437.jpg,https://images.gr-assets.com/books/1303997647s/7864437.jpg,https://images.gr-assets.com/books/1303997647m/7864437.jpg
327,<django.db.models.base.ModelState object at 0x0000021658173BE0>,377,16793,207,61142026,Neil Gaiman,1999,Stardust,Stardust,eng,4.07,https://images.gr-assets.com/books/1459127484m/16793.jpg,https://images.gr-assets.com/books/1459127484s/16793.jpg,https://images.gr-assets.com/books/1459127484m/16793.jpg
328,<django.db.models.base.ModelState object at 0x0000021658173C70>,378,33917,93,618485228,Jhumpa Lahiri,2003,The Namesake,The Namesake,en-US,3.96,https://images.gr-assets.com/books/1480106986m/33917.jpg,https://images.gr-assets.com/books/1480106986s/33917.jpg,https://images.gr-assets.com/books/1480106986m/33917.jpg
329,<django.db.models.base.ModelState object at 0x0000021658173D00>,379,8667848,99,670022411,Deborah Harkness,2011,A Discovery of Witches,"A Discovery of Witches (All Souls Trilogy, #1)",eng,3.99,https://images.gr-assets.com/books/1322168805m/8667848.jpg,https://images.gr-assets.com/books/1322168805s/8667848.jpg,https://images.gr-assets.com/books/1322168805m/8667848.jpg
330,<django.db.models.base.ModelState object at 0x0000021658173D90>,380,11297,232,375704027,"Haruki Murakami, Jay Rubin",1987,ノルウェイの森 [Noruwei no Mori],Norwegian Wood,eng,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
331,<django.db.models.base.ModelState object at 0x0000021658173E20>,381,5168,54,446672211,Billie Letts,1995,Where the Heart Is,Where the Heart Is,en-US,4.0,https://images.gr-assets.com/books/1327959469m/5168.jpg,https://images.gr-assets.com/books/1327959469s/5168.jpg,https://images.gr-assets.com/books/1327959469m/5168.jpg
332,<django.db.models.base.ModelState object at 0x0000021658173EB0>,382,6567017,86,525421580,"John Green, David Levithan",2010,"Will Grayson, Will Grayson","Will Grayson, Will Grayson",eng,3.84,https://images.gr-assets.com/books/1368393890m/6567017.jpg,https://images.gr-assets.com/books/1368393890s/6567017.jpg,https://images.gr-assets.com/books/1368393890m/6567017.jpg
333,<django.db.models.base.ModelState object at 0x0000021658173F40>,383,1241,69,307276902,James Frey,2003,A Million Little Pieces,A Million Little Pieces,en-CA,3.62,https://images.gr-assets.com/books/1483206985m/1241.jpg,https://images.gr-assets.com/books/1483206985s/1241.jpg,https://images.gr-assets.com/books/1483206985m/1241.jpg
334,<django.db.models.base.ModelState object at 0x0000021658173FD0>,384,2282133,93,1595141758,Richelle Mead,2008,Frostbite,"Frostbite (Vampire Academy, #2)",eng,4.3,https://images.gr-assets.com/books/1361098960m/2282133.jpg,https://images.gr-assets.com/books/1361098960s/2282133.jpg,https://images.gr-assets.com/books/1361098960m/2282133.jpg
335,<django.db.models.base.ModelState object at 0x00000216581760A0>,385,8520610,86,307352145,Susan Cain,2012,Quiet: The Power of Introverts in a World that Can,Quiet: The Power of Introverts in a World That Can't Stop Talking,eng,4.04,https://images.gr-assets.com/books/1328562861m/8520610.jpg,https://images.gr-assets.com/books/1328562861s/8520610.jpg,https://images.gr-assets.com/books/1328562861m/8520610.jpg
336,<django.db.models.base.ModelState object at 0x0000021658176130>,386,233818,127,440439884,Scott O'Dell,1960,Island of the Blue Dolphins,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",en-CA,3.8,https://images.gr-assets.com/books/1475166260m/233818.jpg,https://images.gr-assets.com/books/1475166260s/233818.jpg,https://images.gr-assets.com/books/1475166260m/233818.jpg
337,<django.db.models.base.ModelState object at 0x00000216581761C0>,387,17250,133,142437336,"Arthur Miller, Christopher Bigsby",1953,The Crucible,The Crucible,eng,3.55,https://images.gr-assets.com/books/1447764813m/17250.jpg,https://images.gr-assets.com/books/1447764813s/17250.jpg,https://images.gr-assets.com/books/1447764813m/17250.jpg
338,<django.db.models.base.ModelState object at 0x0000021658176250>,388,50,93,689840926,Gary Paulsen,1986,Hatchet,"Hatchet (Brian's Saga, #1)",en-US,3.68,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
339,<django.db.models.base.ModelState object at 0x00000216581762E0>,390,51496,1974,451528956,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",1886,The Strange Case of Dr Jekyll and Mr Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,eng,3.79,https://images.gr-assets.com/books/1318116526m/51496.jpg,https://images.gr-assets.com/books/1318116526s/51496.jpg,https://images.gr-assets.com/books/1318116526m/51496.jpg
340,<django.db.models.base.ModelState object at 0x0000021658176370>,391,7784,40,679889108,Dr. Seuss,1971,The Lorax,The Lorax,eng,4.35,https://images.gr-assets.com/books/1327879938m/7784.jpg,https://images.gr-assets.com/books/1327879938s/7784.jpg,https://images.gr-assets.com/books/1327879938m/7784.jpg
341,<django.db.models.base.ModelState object at 0x0000021658176400>,392,389627,115,810993139,Jeff Kinney,2004,Greg Heffley's Journal,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",en-US,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
342,<django.db.models.base.ModelState object at 0x0000021658176490>,393,7896527,73,1599906953,Sarah J. Maas,2012,Throne of Glass,"Throne of Glass (Throne of Glass, #1)",eng,4.24,https://images.gr-assets.com/books/1495278054m/7896527.jpg,https://images.gr-assets.com/books/1495278054s/7896527.jpg,https://images.gr-assets.com/books/1495278054m/7896527.jpg
343,<django.db.models.base.ModelState object at 0x0000021658176520>,394,2802316,88,1595141979,Richelle Mead,2008,Shadow Kiss,"Shadow Kiss (Vampire Academy, #3)",en-US,4.37,https://images.gr-assets.com/books/1361099049m/2802316.jpg,https://images.gr-assets.com/books/1361099049s/2802316.jpg,https://images.gr-assets.com/books/1361099049m/2802316.jpg
344,<django.db.models.base.ModelState object at 0x00000216581765B0>,395,46170,371,684803356,Ernest Hemingway,1940,For Whom the Bell Tolls,For Whom the Bell Tolls,eng,3.95,https://images.gr-assets.com/books/1492591524m/46170.jpg,https://images.gr-assets.com/books/1492591524s/46170.jpg,https://images.gr-assets.com/books/1492591524m/46170.jpg
345,<django.db.models.base.ModelState object at 0x0000021658176640>,396,3367956,69,345505336,Jamie Ford,2009,Hotel on the Corner of Bitter and Sweet,Hotel on the Corner of Bitter and Sweet,eng,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
346,<django.db.models.base.ModelState object at 0x00000216581766D0>,397,343,364,140120831,"Patrick Süskind, John E. Woods",1985,Das Parfum. Die Geschichte eines Mörders,Perfume: The Story of a Murderer,eng,4.0,https://images.gr-assets.com/books/1409112276m/343.jpg,https://images.gr-assets.com/books/1409112276s/343.jpg,https://images.gr-assets.com/books/1409112276m/343.jpg
347,<django.db.models.base.ModelState object at 0x0000021658176760>,398,1097,61,60838582,Eric Schlosser,2001,Fast Food Nation : The Dark Side of the All-Americ,Fast Food Nation: The Dark Side of the All-American Meal,eng,3.73,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
348,<django.db.models.base.ModelState object at 0x00000216581767F0>,399,3950967,131,747599874,J.K. Rowling,2007,The Tales of Beedle the Bard,The Tales of Beedle the Bard,en-US,4.06,https://images.gr-assets.com/books/1373467575m/3950967.jpg,https://images.gr-assets.com/books/1373467575s/3950967.jpg,https://images.gr-assets.com/books/1373467575m/3950967.jpg
349,<django.db.models.base.ModelState object at 0x0000021658176880>,400,22328,143,441569595,William Gibson,1984,Neuromancer,Neuromancer,eng,3.88,https://images.gr-assets.com/books/1167348726m/22328.jpg,https://images.gr-assets.com/books/1167348726s/22328.jpg,https://images.gr-assets.com/books/1167348726m/22328.jpg
350,<django.db.models.base.ModelState object at 0x0000021658176910>,401,10799,425,99910101,Ernest Hemingway,1929,A Farewell to Arms,A Farewell to Arms,en-US,3.79,https://images.gr-assets.com/books/1313714836m/10799.jpg,https://images.gr-assets.com/books/1313714836s/10799.jpg,https://images.gr-assets.com/books/1313714836m/10799.jpg
351,<django.db.models.base.ModelState object at 0x00000216581769A0>,402,391729,12,553212281,Edgar Allan Poe,1843,The Tell-Tale Heart,The Tell-Tale Heart and Other Writings,en-GB,4.15,https://images.gr-assets.com/books/1327936583m/391729.jpg,https://images.gr-assets.com/books/1327936583s/391729.jpg,https://images.gr-assets.com/books/1327936583m/391729.jpg
352,<django.db.models.base.ModelState object at 0x0000021658176A30>,403,10534,1865,1590302257,"Sun Tzu, Thomas Cleary",-500,孫子兵法 [Sūnzi bīngfǎ],The Art of War,eng,3.95,https://images.gr-assets.com/books/1453417993m/10534.jpg,https://images.gr-assets.com/books/1453417993s/10534.jpg,https://images.gr-assets.com/books/1453417993m/10534.jpg
353,<django.db.models.base.ModelState object at 0x0000021658176AC0>,404,11367726,76,385344228,William Landay,2012,Defending Jacob,Defending Jacob,eng,3.97,https://images.gr-assets.com/books/1329612158m/11367726.jpg,https://images.gr-assets.com/books/1329612158s/11367726.jpg,https://images.gr-assets.com/books/1329612158m/11367726.jpg
354,<django.db.models.base.ModelState object at 0x0000021658176B50>,405,4980,112,385334206,Kurt Vonnegut Jr.,1973,Breakfast of Champions,Breakfast of Champions,eng,4.08,https://images.gr-assets.com/books/1327934446m/4980.jpg,https://images.gr-assets.com/books/1327934446s/4980.jpg,https://images.gr-assets.com/books/1327934446m/4980.jpg
355,<django.db.models.base.ModelState object at 0x0000021658176BE0>,406,627206,64,874774241,Betty Edwards,1979,Drawing on the Right Side of the Brain,The New Drawing on the Right Side of the Brain,en-US,3.84,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
356,<django.db.models.base.ModelState object at 0x0000021658176C70>,407,5826,77,60838728,Ann Patchett,2001,Bel Canto,Bel Canto,eng,3.92,https://images.gr-assets.com/books/1352997328m/5826.jpg,https://images.gr-assets.com/books/1352997328s/5826.jpg,https://images.gr-assets.com/books/1352997328m/5826.jpg
357,<django.db.models.base.ModelState object at 0x0000021658176D00>,408,1842,118,739467352,Jared Diamond,1997,"Guns, Germs, and Steel: The Fates of Human Societi","Guns, Germs, and Steel: The Fates of Human Societies",eng,4.0,https://images.gr-assets.com/books/1453215833m/1842.jpg,https://images.gr-assets.com/books/1453215833s/1842.jpg,https://images.gr-assets.com/books/1453215833m/1842.jpg
358,<django.db.models.base.ModelState object at 0x0000021658176D90>,410,37781,161,385474547,Chinua Achebe,1958,Things Fall Apart,"Things Fall Apart (The African Trilogy, #1)",en-US,3.61,https://images.gr-assets.com/books/1352082529m/37781.jpg,https://images.gr-assets.com/books/1352082529s/37781.jpg,https://images.gr-assets.com/books/1352082529m/37781.jpg
359,<django.db.models.base.ModelState object at 0x0000021658176E20>,411,33722,99,385338694,Sophie Kinsella,2005,The Undomestic Goddess,The Undomestic Goddess,eng,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
360,<django.db.models.base.ModelState object at 0x0000021658176EB0>,412,567795,147,1881273156,Gary Chapman,1990,The Five Love Languages: How to Express Heartfelt ,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,en-US,4.23,https://images.gr-assets.com/books/1369401342m/567795.jpg,https://images.gr-assets.com/books/1369401342s/567795.jpg,https://images.gr-assets.com/books/1369401342m/567795.jpg
361,<django.db.models.base.ModelState object at 0x0000021658176F40>,414,6948436,82,1416589643,Chris Cleave,2008,The Other Hand,Little Bee,en-US,3.7,https://images.gr-assets.com/books/1344401905m/6948436.jpg,https://images.gr-assets.com/books/1344401905s/6948436.jpg,https://images.gr-assets.com/books/1344401905m/6948436.jpg
362,<django.db.models.base.ModelState object at 0x0000021658176FD0>,416,6327,174,590032496,"Roald Dahl, Quentin Blake",1983,The Witches,The Witches,en-US,4.17,https://images.gr-assets.com/books/1351707720m/6327.jpg,https://images.gr-assets.com/books/1351707720s/6327.jpg,https://images.gr-assets.com/books/1351707720m/6327.jpg
363,<django.db.models.base.ModelState object at 0x00000216581780A0>,417,40440,137,743298020,Diane Setterfield,2006,The Thirteenth Tale,The Thirteenth Tale,eng,3.95,https://images.gr-assets.com/books/1346267826m/40440.jpg,https://images.gr-assets.com/books/1346267826s/40440.jpg,https://images.gr-assets.com/books/1346267826m/40440.jpg
364,<django.db.models.base.ModelState object at 0x0000021658178130>,418,6479259,71,1595142509,Richelle Mead,2010,Spirit Bound,"Spirit Bound (Vampire Academy, #5)",eng,4.37,https://images.gr-assets.com/books/1291168967m/6479259.jpg,https://images.gr-assets.com/books/1291168967s/6479259.jpg,https://images.gr-assets.com/books/1291168967m/6479259.jpg
365,<django.db.models.base.ModelState object at 0x00000216581781C0>,419,5996153,76,1595141987,Richelle Mead,2009,Blood Promise,"Blood Promise (Vampire Academy, #4)",en-US,4.35,https://images.gr-assets.com/books/1442530605m/5996153.jpg,https://images.gr-assets.com/books/1442530605s/5996153.jpg,https://images.gr-assets.com/books/1442530605m/5996153.jpg
366,<django.db.models.base.ModelState object at 0x0000021658178250>,420,3478,133,446676071,Nicholas Sparks,1998,Message in a Bottle,Message in a Bottle,en-US,3.95,https://images.gr-assets.com/books/1163789140m/3478.jpg,https://images.gr-assets.com/books/1163789140s/3478.jpg,https://images.gr-assets.com/books/1163789140m/3478.jpg
367,<django.db.models.base.ModelState object at 0x00000216581782E0>,421,8683812,77,345521307,Paula McLain,2011,The Paris Wife,The Paris Wife,eng,3.79,https://images.gr-assets.com/books/1320545874m/8683812.jpg,https://images.gr-assets.com/books/1320545874s/8683812.jpg,https://images.gr-assets.com/books/1320545874m/8683812.jpg
368,<django.db.models.base.ModelState object at 0x0000021658178370>,422,862041,76,545044251,J.K. Rowling,1998,Complete Harry Potter Boxed Set,"Harry Potter Boxset (Harry Potter, #1-7)",eng,4.74,https://images.gr-assets.com/books/1392579059m/862041.jpg,https://images.gr-assets.com/books/1392579059s/862041.jpg,https://images.gr-assets.com/books/1392579059m/862041.jpg
369,<django.db.models.base.ModelState object at 0x0000021658178400>,423,16248068,84,62059963,Kiera Cass,2013,The Elite,"The Elite (The Selection, #2)",eng,4.02,https://images.gr-assets.com/books/1391454595m/16248068.jpg,https://images.gr-assets.com/books/1391454595s/16248068.jpg,https://images.gr-assets.com/books/1391454595m/16248068.jpg
370,<django.db.models.base.ModelState object at 0x0000021658178490>,424,119073,428,156001314,"Umberto Eco, William Weaver, Seán Barrett",1980,Il nome della rosa,The Name of the Rose,en-US,4.11,https://images.gr-assets.com/books/1415375471m/119073.jpg,https://images.gr-assets.com/books/1415375471s/119073.jpg,https://images.gr-assets.com/books/1415375471m/119073.jpg
371,<django.db.models.base.ModelState object at 0x0000021658178520>,425,46799,92,1416914633,"Beatrice Sparks, Anonymous",1971,Go Ask Alice,Go Ask Alice,eng,3.77,https://images.gr-assets.com/books/1327870536m/46799.jpg,https://images.gr-assets.com/books/1327870536s/46799.jpg,https://images.gr-assets.com/books/1327870536m/46799.jpg
372,<django.db.models.base.ModelState object at 0x00000216581785B0>,426,310612,131,802130208,"John Kennedy Toole, Walker Percy",1980,A Confederacy of Dunces,A Confederacy of Dunces,eng,3.89,https://images.gr-assets.com/books/1436747103m/310612.jpg,https://images.gr-assets.com/books/1436747103s/310612.jpg,https://images.gr-assets.com/books/1436747103m/310612.jpg
